,population,female,male,total_deaths,total_cases,clusters,cluster
0,55200,28326,26874,240.0,19819.0,0,pink
1,208107,106919,101188,735.0,70014.0,0,pink
2,25782,12085,13697,105.0,7460.0,0,pink
3,22527,10375,12152,117.0,8116.0,0,pink
4,57645,29211,28434,267.0,18738.0,0,pink
5,10352,4689,5663,58.0,3068.0,0,pink
6,20025,10657,9368,133.0,6564.0,0,pink
7,115098,59783,55315,682.0,41409.0,0,pink
8,33826,17569,16257,180.0,10906.0,0,pink
9,25853,13033,12820,96.0,6797.0,0,pink
10,43930,22258,21672,220.0,13012.0,0,pink
11,13075,6822,6253,41.0,2293.0,0,pink
12,24387,12848,11539,111.0,8627.0,0,pink
13,13378,6914,6464,94.0,5201.0,0,pink
14,14938,7657,7281,73.0,4435.0,0,pink
15,51288,25974,25314,261.0,17252.0,0,pink
16,54495,28420,26075,278.0,21399.0,0,pink
17,12514,6477,6037,79.0,3626.0,0,pink
18,10855,5354,5501,64.0,3803.0,0,pink
19,37351,19179,18172,263.0,11788.0,0,pink
20,13865,7051,6814,119.0,4807.0,0,pink
21,82313,41753,40560,401.0,31630.0,0,pink
22,49255,25021,24234,252.0,16544.0,0,pink
23,40029,21581,18448,263.0,11099.0,0,pink
24,71200,35896,35304,349.0,22577.0,0,pink
25,81212,41762,39450,373.0,30051.0,0,pink
26,37328,18261,19067,186.0,12447.0,0,pink
27,102939,53288,49651,703.0,34481.0,0,pink
28,16585,8415,8170,103.0,5935.0,0,pink
29,31542,15940,15602,159.0,12111.0,0,pink
30,26491,13520,12971,175.0,7971.0,0,pink
31,8426,4476,3950,55.0,2310.0,0,pink
32,14887,7868,7019,113.0,5757.0,0,pink
33,17124,8892,8232,81.0,5893.0,0,pink
34,104352,54323,50029,540.0,32744.0,0,pink
35,52094,26558,25536,258.0,18520.0,0,pink
36,659892,347544,312348,2568.0,239229.0,1,purple
37,13933,7133,6800,74.0,4746.0,0,pink
38,92585,48270,44315,428.0,30558.0,0,pink
39,33171,17168,16003,187.0,9439.0,0,pink
40,159287,80915,78372,384.0,47769.0,0,pink
41,93052,46625,46427,317.0,32253.0,0,pink
42,10236,5406,4830,82.0,3391.0,0,pink
43,19054,10264,8790,94.0,5325.0,0,pink
44,357560,182895,174665,1093.0,116643.0,0,pink
45,19538,10092,9446,122.0,6244.0,0,pink
46,29965,15067,14898,169.0,10184.0,0,pink
47,95145,48168,46977,425.0,33030.0,0,pink
48,414659,216731,197928,1791.0,135377.0,1,purple
49,21512,11282,10230,90.0,6802.0,0,pink
50,226941,119587,107354,1021.0,73833.0,0,pink
51,119122,60462,58660,558.0,46574.0,0,pink
52,9486,5050,4436,53.0,2747.0,0,pink
53,20298,10590,9708,124.0,6354.0,0,pink
54,33403,17376,16027,142.0,9343.0,0,pink
55,22574,11585,10989,80.0,6560.0,0,pink
56,58213,30089,28124,103.0,13110.0,0,pink
57,211261,108783,102478,496.0,78325.0,0,pink
58,87306,43551,43755,445.0,33397.0,0,pink
59,12985,6971,6014,57.0,3204.0,0,pink
60,80565,41409,39156,402.0,28673.0,0,pink
61,40636,21119,19517,262.0,14805.0,0,pink
62,206213,106674,99539,861.0,71049.0,0,pink
63,64493,32987,31506,487.0,24399.0,0,pink
64,16643,8223,8420,65.0,4459.0,0,pink
65,10809,5675,5134,50.0,3688.0,0,pink
66,23875,12035,11840,147.0,9581.0,0,pink
67,3425,1436,1989,5.0,1340.0,0,pink
68,5750,2318,3432,3.0,2006.0,0,pink
69,296112,144968,151144,613.0,124062.0,0,pink
70,18040,8659,9381,48.0,12939.0,0,pink
71,890,364,526,0.0,0.0,0,pink
72,1375,665,710,1.0,1254.0,0,pink
73,2232,1115,1117,2.0,1803.0,0,pink
74,4975,2402,2573,13.0,2270.0,0,pink
75,99653,45807,53846,172.0,33566.0,0,pink
76,2518,1183,1335,1.0,816.0,0,pink
77,2132,1037,1095,0.0,0.0,0,pink
78,32330,15813,16517,30.0,11946.0,0,pink
79,58220,27906,30314,132.0,22618.0,0,pink
80,13804,6744,7060,27.0,5142.0,0,pink
81,13649,6368,7281,13.0,5879.0,0,pink
82,8198,3810,4388,16.0,4923.0,0,pink
83,103464,49552,53912,278.0,40705.0,0,pink
84,9925,4685,5240,7.0,7600.0,0,pink
85,9797,3681,6116,17.0,5518.0,0,pink
86,7734,3578,4156,22.0,5755.0,0,pink
87,3255,1606,1649,9.0,930.0,0,pink
88,6474,2960,3514,10.0,1848.0,0,pink
89,8738,4267,4471,10.0,3513.0,0,pink
90,1061,506,555,1.0,693.0,0,pink
91,6876,3097,3779,21.0,2479.0,0,pink
92,9301,4403,4898,0.0,0.0,0,pink
93,2484,1182,1302,2.0,813.0,0,pink
94,689,320,369,5.0,986.0,0,pink
95,5415,2505,2910,13.0,1750.0,0,pink
96,71522,36282,35240,655.0,35935.0,0,pink
97,126279,62144,64135,665.0,39033.0,0,pink
98,140217,71299,68918,549.0,52742.0,0,pink
99,53400,27030,26370,450.0,21500.0,0,pink
100,37879,17549,20330,198.0,14176.0,0,pink
101,9504,4440,5064,48.0,2747.0,0,pink
102,20701,10024,10677,170.0,6021.0,0,pink
103,4253913,2149768,2104145,19017.0,1526639.0,2,dark purple
104,206064,102017,104047,1700.0,67115.0,0,pink
105,108705,54172,54533,981.0,48406.0,0,pink
106,1019722,517843,501879,4369.0,315478.0,1,purple
107,419721,200673,219048,1875.0,156521.0,1,purple
108,46584,24299,22285,255.0,19790.0,0,pink
109,224645,114850,109795,1427.0,60089.0,0,pink
110,207829,100856,106973,1313.0,71250.0,0,pink
111,18124,9391,8733,106.0,7041.0,0,pink
112,20537,10524,10013,89.0,6234.0,0,pink
113,41219,21227,19992,290.0,10748.0,0,pink
114,258980,130581,128399,1011.0,77175.0,0,pink
115,37288,18938,18350,212.0,11241.0,0,pink
116,10948,5734,5214,59.0,3603.0,0,pink
117,5202,2595,2607,15.0,1217.0,0,pink
118,27887,13990,13897,123.0,7273.0,0,pink
119,10826,5560,5266,69.0,3149.0,0,pink
120,22385,11757,10628,99.0,6426.0,0,pink
121,15061,7647,7414,104.0,5140.0,0,pink
122,25230,12758,12472,153.0,8040.0,0,pink
123,8226,4088,4138,42.0,2680.0,0,pink
124,23892,12448,11444,108.0,6781.0,0,pink
125,20906,10724,10182,85.0,6578.0,0,pink
126,105701,54173,51528,398.0,47118.0,0,pink
127,62472,31711,30761,308.0,18617.0,0,pink
128,49013,25742,23271,250.0,16666.0,0,pink
129,16998,8798,8200,108.0,5758.0,0,pink
130,7432,3814,3618,41.0,2086.0,0,pink
131,11887,6264,5623,46.0,3657.0,0,pink
132,18502,9469,9033,85.0,5636.0,0,pink
133,122416,62505,59911,370.0,42858.0,0,pink
134,17780,9105,8675,89.0,4490.0,0,pink
135,12139,6091,6048,101.0,3140.0,0,pink
136,98296,51114,47182,586.0,26993.0,0,pink
137,18086,9216,8870,68.0,5240.0,0,pink
138,44623,22711,21912,206.0,19692.0,0,pink
139,22018,11524,10494,83.0,5636.0,0,pink
140,33520,16102,17418,168.0,13051.0,0,pink
141,13389,6949,6440,65.0,4668.0,0,pink
142,37264,19172,18092,237.0,12762.0,0,pink
143,13559,6541,7018,82.0,4739.0,0,pink
144,17225,8713,8512,76.0,7265.0,0,pink
145,70424,35518,34906,332.0,22323.0,0,pink
146,26291,13315,12976,108.0,8202.0,0,pink
147,6915,3534,3381,31.0,1510.0,0,pink
148,16669,8399,8270,90.0,6520.0,0,pink
149,9398,4089,5309,71.0,3350.0,0,pink
150,13695,5105,8590,71.0,5509.0,0,pink
151,12417,6327,6090,113.0,3886.0,0,pink
152,21757,11114,10643,99.0,6085.0,0,pink
153,72206,36539,35667,284.0,23930.0,0,pink
154,16076,8038,8038,71.0,4862.0,0,pink
155,16438,8448,7990,95.0,4109.0,0,pink
156,43759,22283,21476,215.0,11618.0,0,pink
157,42831,21955,20876,246.0,16354.0,0,pink
