,county,state,population,male,female,median_age,region,female_percentage,cases,deaths,population_size,death_size,case_size
0,Abbeville,South Carolina,24657,11966,12691,43.8,South,51.47017074258832,7806,78,small population,low deaths,low cases
1,Acadia,Louisiana,62568,30491,32077,36.2,South,51.26742104590206,18892,310,small population,low deaths,low cases
2,Accomack,Virginia,32742,15861,16881,45.9,South,51.557632398753896,9055,119,small population,low deaths,low cases
3,Ada,Idaho,446052,223367,222685,36.7,West,49.923551514173234,159699,1137,small population,medium deaths,medium cases
4,Adair,Iowa,7124,3516,3608,45.4,Midwest,50.6457046603032,9787,79,small population,low deaths,low cases
5,Adams,Colorado,497115,250704,246411,33.6,West,49.56820856341088,5833,70,small population,low deaths,low cases
6,Addison,Vermont,36939,18272,18667,43.7,Northeast,50.534665258940414,6940,33,small population,low deaths,low cases
7,Aiken,South Carolina,166926,80764,86162,41.0,South,51.61688412829637,52254,457,small population,low deaths,low cases
8,Aitkin,Minnesota,15834,8053,7781,55.1,Midwest,49.141088796261215,3677,65,small population,low deaths,low cases
9,Alachua,Florida,263148,127298,135850,31.3,South,51.62494109778528,89071,813,small population,low deaths,low cases
10,Alamance,North Carolina,160576,76259,84317,39.5,South,52.50909226783579,61623,567,small population,low deaths,low cases
11,Alameda,California,1643700,807171,836529,37.4,West,50.89304617630954,399660,2174,medium population,medium deaths,medium cases
12,Alamosa,Colorado,16444,8242,8202,30.4,West,49.87837509121868,5914,68,small population,low deaths,low cases
13,Albany,New York,307426,148910,158516,37.9,Northeast,51.562327194186565,11524,54,small population,low deaths,low cases
14,Albemarle,Virginia,106355,50856,55499,38.8,South,52.182784072211,25305,208,small population,low deaths,low cases
15,Alcona,Michigan,10364,5224,5140,58.2,Midwest,49.59475106136627,1926,78,small population,low deaths,low cases
16,Alcorn,Mississippi,37180,18287,18893,39.7,South,50.81495427649274,12759,173,small population,low deaths,low cases
17,Aleutians East,Alaska,3425,1989,1436,42.7,West,41.92700729927007,1331,5,small population,low deaths,low cases
18,Aleutians West,Alaska,5750,3432,2318,37.6,West,40.313043478260866,2000,3,small population,low deaths,low cases
19,Alexander,Illinois,6532,3104,3428,42.8,Midwest,52.48009797917943,12747,158,small population,low deaths,low cases
20,Alexandria,Virginia,156505,75346,81159,36.5,South,51.85712916520239,45440,233,small population,low deaths,low cases
21,Alfalfa,Oklahoma,5857,3477,2380,42.9,South,40.635137442376646,1877,17,small population,low deaths,low cases
22,Alger,Michigan,9194,5104,4090,49.4,Midwest,44.4855340439417,2120,19,small population,low deaths,low cases
23,Allamakee,Iowa,13880,7045,6835,44.8,Midwest,49.24351585014409,3231,67,small population,low deaths,low cases
24,Allegan,Michigan,115250,57586,57664,39.6,Midwest,50.033839479392626,32101,401,small population,low deaths,low cases
25,Allegany,Maryland,71977,37646,34331,41.7,South,47.69718104394459,10819,164,small population,low deaths,low cases
26,Alleghany,North Carolina,10973,5386,5587,49.5,South,50.915884443634376,4532,111,small population,low deaths,low cases
27,Allegheny,Pennsylvania,1225561,591630,633931,40.8,Northeast,51.72578109127167,338570,3818,medium population,medium deaths,medium cases
28,Allen,Indiana,370016,180669,189347,35.8,Midwest,51.17265199342731,33659,509,small population,low deaths,low cases
29,Allendale,South Carolina,9214,4913,4301,40.2,South,46.678966789667896,2423,24,small population,low deaths,low cases
30,Alpena,Michigan,28612,14095,14517,47.8,Midwest,50.73745281699986,6518,159,small population,low deaths,low cases
31,Alpine,California,1146,612,534,44.3,West,46.596858638743456,143,0,small population,low deaths,low cases
32,Amador,California,37829,20302,17527,50.5,West,46.33217901609876,11506,99,small population,low deaths,low cases
33,Amelia,Virginia,12854,6652,6202,46.0,South,48.24957211762875,3566,64,small population,low deaths,low cases
34,Amherst,Virginia,31882,15358,16524,44.3,South,51.828618028981865,9590,111,small population,low deaths,low cases
35,Amite,Mississippi,12468,6007,6461,46.5,South,51.82066089188322,3873,70,small population,low deaths,low cases
